confidence,id,metadata,source_id,target_id,type
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 72}",several year',confidence=1.0,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 2}",end_char=15614,confidence=1.0,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 2}",end_char=15736,confidence=1.0,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 5}",Mimikatz,Entity(text='NotPetya,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 50}",Entity(text='NotPetya,confidence=1.0,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 76}",confidence=1.0,NotPetya,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 61}",NotPetya,end_char=15962,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 92}",end_char=15962,BadRabbit,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 61}",Mimikatz,"end_char=16742, confidence=1.0, metadata={'extraction_method",related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 46}","end_char=16742, confidence=1.0, metadata={'extraction_method",Microsoft,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 30}",May 13',label='LAW,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 77}",May 13',confidence=1.0,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 37}",label='LAW,confidence=1.0,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 76}",confidence=1.0,Credential Guard.</p>\n,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 80}",Credential Guard.</p>\n,end_char=17635,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 92}",end_char=17635,Microsoft,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 26}",Microsoft,Hardware Compatibility Program Specifications',related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 4}",Windows Hardware Compatibility Program Specifications',Entity(text='2016',related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 26}",2016,Server Semi-Annual',related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 78}",2016,end_char=17759,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 94}",2016,confidence=1.0,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 33}",Server Semi-Annual',end_char=17759,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 49}",Server Semi-Annual',confidence=1.0,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 2}",end_char=17759,confidence=1.0,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 2}",end_char=17919,confidence=1.0,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 92}",end_char=17919,Microsoft,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 76}",confidence=1.0,Microsoft,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 78}","href=""https://learn.microsoft.com",confidence=1.0,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 2}",end_char=18149,confidence=1.0,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 6}",Local Administrator Password Solution,Microsoft,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 16}",Windows,Microsoft Advanced Threat Analytics,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 68}",Mimikatz,Wherever Mimikatz,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 68}",1546,Password Solution',related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 49}",Password Solution',confidence=1.0,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 33}",Advanced Threat Analytics',end_char=18856,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 92}",end_char=18856,Microsoft Advanced Threat Analytics',related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 26}",Microsoft Advanced Threat Analytics',Mimikatz,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 53}",Microsoft Advanced Threat Analytics',start_char=18999,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 71}",Microsoft Advanced Threat Analytics',end_char=19016,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 87}",Microsoft Advanced Threat Analytics',confidence=1.0,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 19}",Mimikatz,start_char=18999,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 37}",Mimikatz,end_char=19016,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 2}",start_char=18999,end_char=19016,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 18}",start_char=18999,confidence=1.0,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 2}",end_char=19016,confidence=1.0,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 27}",Mimikatz,Mimikatz,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 72}",Mimikatz,end_char=19540,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 2}",end_char=19540,confidence=1.0,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 91}",Securing Active,PowerShell,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 71}",PowerShell,Mimikatz,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 2}",>Lateral Movement Framework,PowerShell,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 25}",Mimikatz,Directory,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 34}",Entity(text='PowerShell,end_char=20611,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 50}",Entity(text='PowerShell,confidence=1.0,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 2}",end_char=20611,confidence=1.0,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 92}",end_char=20611,PowerShell,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 76}",confidence=1.0,PowerShell,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 63}",PowerShell,end_char=20690,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 92}",end_char=20690,Mimikatz,related_to
